id,text,source
1,La diabetes mellitus es una enfermedad crónica que se presenta cuando el cuerpo no produce suficiente insulina o no puede utilizarla de forma eficaz.,World Health Organization
2,La insulina es una hormona que regula la glucosa (azúcar) en la sangre.,American Diabetes Association
3,"Existen varios tipos de diabetes: Diabetes Mellitus tipo 1, en la que el cuerpo no utiliza la insulina de forma adecuada; Diabetes Mellitus tipo 2, donde el cuerpo no produce suficiente insulina; y Diabetes gestacional, que se produce durante el embarazo.",American Diabetes Association
4,La metformina es un medicamento que reduce la producción de glucosa en el hígado.,Mayo Clinic
5,"El índice glucémico del arroz blanco es alto, lo que puede elevar rápidamente el nivel de glucosa en sangre.",Harvard Health
6,Las personas con diabetes tipo 2 deben mantener una dieta rica en fibra y baja en azúcares simples.,American Diabetes Association
7,La hipoglucemia se presenta cuando el nivel de glucosa en sangre es inferior a 70 mg/dL.,National Institutes of Health
8,Las frutas con bajo índice glucémico como la manzana o la pera son recomendables en personas con diabetes.,Cleveland Clinic
9,El ejercicio regular ayuda a controlar los niveles de glucosa y mejora la sensibilidad a la insulina.,Centers for Disease Control and Prevention
10,Los carbohidratos complejos como la avena y las legumbres son preferibles a los refinados.,Johns Hopkins
11,"Los síntomas de hipoglucemia incluyen sudoración, temblores, hambre y confusión",National Institutes of Health
12,La insulina es necesaria para el tratamiento de la diabetes tipo 1 y algunos casos de tipo 2.,American Diabetes Association
13,El monitoreo continuo de glucosa permite un mejor control y ajuste del tratamiento.,Dexcom
14,Los refrescos azucarados deben evitarse ya que elevan rápidamente la glucosa en sangre.,Harvard Health
15,"Las grasas saludables como las del aguacate, nueces y aceite de oliva son recomendadas.",American Diabetes Association
16,El estrés puede aumentar los niveles de glucosa en sangre debido a la liberación de hormonas.,Cleveland Clinic
17,Es importante revisar los pies regularmente para evitar complicaciones como infecciones,Mayo Clinic
18,Los niveles normales de glucosa en ayunas deben estar entre 70 y 100 mg/dL.,National Institutes of Health
19,El HbA1c refleja el control de glucosa promedio en los últimos 3 meses.,Centers for Disease Control and Prevention
20,"El consumo moderado de frutas es posible, pero debe ser parte de un plan supervisado.",Johns Hopkins
21,Las proteínas magras como el pollo sin piel o el pescado son opciones saludables.,Harvard Health
22,La diabetes gestacional ocurre durante el embarazo y generalmente desaparece después del parto.,Mayo Clinic
23,"El consumo excesivo de alcohol puede provocar hipoglucemia, especialmente si se toma con insulina.",American Diabetes Association
24,"Los síntomas de diabetes pueden incluir: aumento de la sed, el hambre y la micción, pérdida de peso inexplicable, fatiga, visión borrosa, heridas que tardan en sanar.",World Health Organization
25,"Las complicaciones comunes de la diabetes no controlada incluyen enfermedades cardíacas, accidentes cerebrovasculares, enfermedad renal, daño nervioso (neuropatía), ceguera (retinopatía) y amputaciones de extremidades inferiores.",World Health Organization
26,"Las personas con DM tipo 2 a menudo pueden controlar su condición con cambios en el estilo de vida y medicamentos orales, aunque algunas pueden requerir insulina con el tiempo.",Mayo Clinic
27,La mayoría de los adultos con diabetes deben aspirar a una hemoglobina A1c (HbA1c) inferior al 7% para reducir el riesgo de complicaciones a largo plazo. Las metas de glucosa deben individualizarse.,American Diabetes Association
28,"Ejemplos de alimentos con índice glucémico alto son: el pan blanco, el arroz blanco, las papas hervidas o el cereal de maíz (corn flakes).",Harvard Health
29,"Ejemplos de alimentos con índice glucémico bajo son: manzana, lentejas, brócoli, leche desnatada y yogurt natural.",Harvard Health
30,El índice glucémico es una medida de la rapidez con la que el alimento eleva los niveles de glucosa en la sangre.,Harvard Health
